Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
COMP_SCI 496,Engineering Modern Cryptographic Protocols,,,2-4:50 W Wang,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-20.html,IC
COMP_SCI 496,Qualitative Reasoning Seminar,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-21.html,IC.  This course is open to graduate students in cognitive science who are interested in knowledge representation. No programming will be required
COMP_SCI 496,Engineering Interactive Systems,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-23.html,
COMP_SCI 496,Visualization for Scientific Communication,,,2:30 -5:20 M Kay,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-24.html,
COMP_SCI 496,Foundations of Reliable Machine Learning,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-26.html,"CS 336, PhDs Students, IC"
COMP_SCI 496,HCI Methods for Health Research,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-23.html,"IC - please complete form https://forms.gle, xtxPfkK58FXxFWVD8"
COMP_SCI 496,Evolutionary Computation,2-3:20 TuTh Kriegman,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-25.html,"CS MS, ME MS, Chem_ENG MS, CS PhD, ME PhD, Chem_ENG PhD, IC"
COMP_SCI 496,Advanced System Security,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-29-xxing.html,"PhD Students, IC"
COMP_SCI 496,Logic In AI,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-30.html,IC
COMP_SCI 496,The Expansion Phenomenon in Computer Science,11-12:20 TuTh Mohanty,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-31.html,
COMP_SCI 496,Modern Discrete Probability,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-32.html,"Strong background in probability, stochastic processes, at the level of IEMS 460-1, IC"
COMP_SCI 496,Learning in Networks,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-36.html,IC
COMP_SCI 496,Graduate Social Network Analysis,2-5pm F Contractor,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-37.html,"CS PhD, Masterâ€™s students"
COMP_SCI 496,Intro to Type Systems,11-12:20 TuTh Findler,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-38.html,IC
COMP_SCI 496,Academic Job Search,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-39.html,"Post Qualifying Ph.D exam, IC"
COMP_SCI 496,Transformative AI and the Learning Sciences,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-40.html,"PhD in the CS, LS, CS+LS, TSB programs. No exceptions will be made"
COMP_SCI 496,Theory of Gradient-Based Optimization in ML,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-41.html,"CS MS, CS PhDs students, IC"
COMP_SCI 496,Emerging Risks for Humans Interacting with Technologies,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-42.html,"CS Students (BA, BS, MS, PhDs), IC"
